verkehrsstrom,zufahrt,spur,strom,kennung,stromtyp,formel,kommentar,intervall_nr,intervall_start,intervall_ende,rad,krad,pkw,lfz,lkw,lz,bus
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße,011,08:30,08:45,0,,4,0,3,4,0
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße,012,08:45,09:00,2,,10,0,1,2,0
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße,013,09:00,09:15,0,,0,1,0,2,0
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße,014,09:15,09:30,0,,10,3,0,3,0
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße,015,09:30,09:45,0,,10,0,1,3,0
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße,016,09:45,10:00,0,,8,1,2,3,0
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße,017,10:00,10:15,0,,5,1,0,1,0
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße,018,10:15,10:30,0,,9,0,2,1,0
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße,019,10:30,10:45,0,,8,1,0,4,0
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße,020,10:45,11:00,0,,8,1,0,3,0
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße,021,11:00,11:15,0,,3,2,3,1,0
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße,022,11:15,11:30,0,,5,0,0,0,0
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße,023,11:30,11:45,0,,3,0,1,3,0
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße,024,11:45,12:00,0,,9,1,1,2,1
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße,025,12:00,12:15,0,,4,1,0,3,0
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße,026,12:15,12:30,1,,8,0,2,1,0
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße,027,12:30,12:45,0,,3,0,0,6,0
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße,028,12:45,13:00,0,,4,1,0,3,0
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße,029,13:00,13:15,0,,7,0,1,0,0
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße,030,13:15,13:30,2,,13,0,0,2,0
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße,031,13:30,13:45,0,,0,2,2,2,0
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße,032,13:45,14:00,0,,2,0,1,6,0
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße,033,14:00,14:15,0,,9,1,4,2,0
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße,034,14:15,14:30,2,,10,2,1,0,2
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße,035,14:30,14:45,0,,7,2,0,2,0
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße,036,14:45,15:00,0,,6,1,3,1,1
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße,037,15:00,15:15,0,,10,3,2,1,0
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße,038,15:15,15:30,0,,4,0,2,1,0
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße,039,15:30,15:45,0,,4,1,1,2,0
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße,040,15:45,16:00,0,,8,2,0,0,0
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße,041,16:00,16:15,1,,13,0,1,3,0
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße,042,16:15,16:30,0,,20,1,0,2,0
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße,043,16:30,16:45,1,,9,0,1,3,0
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße,044,16:45,17:00,0,,3,3,0,0,0
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße,045,17:00,17:15,0,,15,0,0,1,0
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße,046,17:15,17:30,1,,11,2,0,0,0
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße,047,17:30,17:45,2,,6,0,0,0,0
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße,048,17:45,18:00,1,,4,0,0,0,0
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße,049,18:00,18:15,1,,10,1,0,1,0
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße,050,18:15,18:30,1,,4,0,0,0,0
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße,051,18:30,18:45,0,,1,3,1,0,0
8,B,1,2,BG...(5),Zählstrom,,Geradeausfahrer Wiedersdorfer Straße,052,18:45,19:00,0,,2,0,0,0,0
9,B,2,1,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße,001,06:00,06:15,0,,3,0,1,3,0
9,B,2,1,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße,002,06:15,06:30,0,,7,0,0,3,0
9,B,2,1,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße,003,06:30,06:45,0,,8,1,3,1,0
9,B,2,1,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße,004,06:45,07:00,0,,4,0,0,0,0
9,B,2,1,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße,005,07:00,07:15,0,,6,0,1,2,0
9,B,2,1,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße,006,07:15,07:30,0,,4,0,0,1,0
9,B,2,1,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße,007,07:30,07:45,0,,9,0,2,2,0
9,B,2,1,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße,008,07:45,08:00,0,,1,0,1,3,0
9,B,2,1,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße,009,08:00,08:15,0,,0,0,1,0,0
9,B,2,1,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße,010,08:15,08:30,0,,4,0,2,0,0
9,B,2,1,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße,011,08:30,08:45,0,,5,1,1,2,0
9,B,2,1,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße,012,08:45,09:00,0,,5,0,4,3,0
9,B,2,1,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße,013,09:00,09:15,0,,4,0,2,1,0
9,B,2,1,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße,014,09:15,09:30,0,,1,0,0,2,0
9,B,2,1,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße,015,09:30,09:45,0,,4,1,1,0,0
9,B,2,1,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße,016,09:45,10:00,0,,4,0,2,1,0
9,B,2,1,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße,017,10:00,10:15,0,,3,1,1,1,0
9,B,2,1,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße,018,10:15,10:30,0,,13,2,1,4,0
9,B,2,1,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße,019,10:30,10:45,0,,6,1,1,1,0
9,B,2,1,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße,020,10:45,11:00,0,,1,1,1,2,0
9,B,2,1,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße,021,11:00,11:15,0,,1,1,0,1,0
9,B,2,1,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße,022,11:15,11:30,0,,11,0,1,1,0
9,B,2,1,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße,023,11:30,11:45,0,,1,0,0,1,0
9,B,2,1,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße,024,11:45,12:00,0,,2,0,1,1,1
9,B,2,1,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße,025,12:00,12:15,0,,2,0,0,2,0
9,B,2,1,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße,026,12:15,12:30,0,,2,0,1,2,0
9,B,2,1,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße,027,12:30,12:45,0,,1,0,1,0,0
9,B,2,1,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße,028,12:45,13:00,0,,2,0,0,1,0
9,B,2,1,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße,029,13:00,13:15,0,,10,1,1,1,0
9,B,2,1,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße,030,13:15,13:30,0,,5,2,2,1,0
9,B,2,1,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße,031,13:30,13:45,0,,2,1,2,3,0
9,B,2,1,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße,032,13:45,14:00,0,,3,0,1,0,0
9,B,2,1,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße,033,14:00,14:15,0,,7,2,1,1,0
9,B,2,1,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße,034,14:15,14:30,0,,2,0,1,1,0
9,B,2,1,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße,035,14:30,14:45,0,,4,1,0,0,0
9,B,2,1,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße,036,14:45,15:00,0,,4,1,0,2,0
9,B,2,1,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße,037,15:00,15:15,0,,5,0,1,3,0
9,B,2,1,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße,038,15:15,15:30,0,,8,0,0,0,0
9,B,2,1,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße,039,15:30,15:45,0,,6,0,1,0,0
9,B,2,1,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße,040,15:45,16:00,0,,1,0,1,0,0
9,B,2,1,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße,041,16:00,16:15,0,,10,2,1,0,0
9,B,2,1,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße,042,16:15,16:30,0,,6,1,1,1,0
9,B,2,1,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße,043,16:30,16:45,0,,7,0,0,0,0
9,B,2,1,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße,044,16:45,17:00,0,,9,1,1,0,0
9,B,2,1,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße,045,17:00,17:15,0,,4,0,1,0,0
9,B,2,1,BL...(6),Zählstrom,,Linksabbieger Wiedersdorfer Straße,046,17:15,17:30,0,,3,1,1,0,0
